id,sender,message_body,category
7026,OTPSMS,Your OTP for MNP change is 123456. Use it within 5 mins. Ignore if not requested.,otp
7027,SWIGGY,Order #SWG54321 placed. Amount Rs 612. Free delivery on your next order.,promotion
7028,GOIBIBO,"Your flight 7E-452 is confirmed. PNR: TTPO12. Fare Rs 4,350.00.",service
7029,INDIACOMM,"Welcome to IndiPay! Your monthly statement is ready. Balance: Rs 3,210.",service
7030,HCIDATA,"Dear user, subscription renews on 12/11/2025. Amount Rs 99.00. To cancel reply STOP.",service
7031,AMAZON,"Your order #AMZ7890 shipped. Tracking: A1B2C3. ₹1,299.00 paid.",promotion
7032,ICICIBK,"Alert: Rs 8,120.50 debited from your account on 07-11-2025. If unauthorized, call 1800-209-8787.",banking
7033,VERIFY,OTP: 492813 for your transaction. Valid for 7 mins. Do not share OTP.,otp
7034,FLIPKRT,Your order #FK-5321 returned. Refund Rs 520.00 credited to your wallet.,promotion
7035,9-digit 91-9876001122,"Bro, weekend plan? Where r u? Msg me back asap.",personal
7036,HDFCBK,"Heads up: Rs 1,200.75 charged at GRID Cafe on 07-11-2025. Ref: HDFC-9456.",banking
7037,IBNREAD,Service alert: Your account alert preference updated successfully.,service
7038,UBER,Ride completed. Fare Rs 78.50. Driver is awaiting feedback.,service
7039,MYNTRA,"Your order #MYN-7788 shipped. Expected delivery by 9 Nov. Amount Rs 1,099.",promotion
7040,OTPSMS,Alert: OTP 654321 for your payment. Do not share this code.,otp
7041,AXISBK,Hi! Your otp for online login is 274901. Do not share with anyone. Rs. 3200 debit alert on 23/11. Ref: AXIS20241123,otp
7042,HDFCBK,"Dear customer, Rs. 5400 debited from your account on 22-11-2024. Ref: HDFC-4321. If not you, call us.",banking
7043,ZOMATO,Your order #ZMT12345 from Zomato is delivered. ₹230 incl. tax. Thanks for eating with us!,promotion
7044,VERIFY,OTP: 658493 for your Paytm login. Do not share. Exp 10 min. 🕒,otp
7045,SPAMNR,U r preapproved for a loan! Reply YES to activate. T&C apply. ₹0 processing fee.,spam
7046,INDIAGO,Hi! Your package from Myntra is out for delivery. Tracking: MU1234567. ETA 2pm today.,service
7047,ICICIBK,"Alert: Rs. 12000 withdrawal attempted at ATM 24/11. If not you, contact ICICI immediately.",banking
7048,SWIGGY,Your order SWG98765 is confirmed. Estimated delivery in 25-35 mins. Total ₹415,promotion
7049,+919876543210,"Hey bhai, lunch ke liye ready? Mum says pick me up at 7. See you soon!",personal
7050,GOIBIBO,Your flight 9W1234 to Mumbai is confirmed. ₹1800 total. Check-in link sent.,service
7051,UBER,"Ride booked: UberXL, ETA 5 mins. Fare approx ₹120. Thanks for choosing UBER.",service
7052,PAYTM,"OTP: 492873 for your Paytm wallet login. Do not share, expires in 5 mins.",otp
7053,MYNTRA,Order #MN1234 shipped. Tracking: MNTRACK987. Cash on delivery available.,promotion
7054,BANKALRT,Bank alert: Rs. 2500 credit from refunds. Ref: BREF-7788. Thanks for banking with us.,banking
7055,UTLMS,Service update: Your internet service is back online. Apologies for the inconvenience.,service
7056,10 digit 91-9998887777,Kya scene hai? Server down in area 12.3.24. mil jaayega soon. Pls stay tuned.,personal
7057,ZOMATO,Promo: Flat Rs. 150 off on orders above Rs. 499. Use ZOMLOVE code.,promotion
7058,OTPSMS,OTP: 837526 for secure login. Not you? ignore. ₹50 offer on next order.,otp
7059,ICICIBK,"Your balance is Rs. 12,340.21. Last update 22:44. Happy banking!",banking
7060,MOBSPM,Hello! This is a scam test: ignore this message. Stay safe from frauds.,spam
7061,VERIFY,Your OTP is 483920 for your transaction. Do not share it with anyone. Expires in 10 min.,otp
7062,AXISBK,"Your account was debited Rs 1,240.50 on 07 Nov 2025. Ref: W620X9. Balance ₹9,560.",banking
7063,ZOMATO,Your order #Z12345 has been confirmed. ETA 35 mins. Total ₹512.00. Thanks for choosing Zomato!,promotion
7064,OTPSMS,OTP: 672198 for login to your PayTM wallet. Valid for 5 mins.,otp
7065,INDUSBK,Alert: ₹ showing on your card will be charged ₹0.00 today. For any queries call 1860-XXX-XXXX.,banking
7066,SBIA_ALERT,Your savings interest credited ₹6.40 for Oct 2025. Ending 1234.,banking
7067,SWIGGY,Delivery has been dispatched. Order #SWT98765. Amount ₹320.00. Expect arrival by 8 PM.,promotion
7068,9991234567,"Hey yaar, dinner at 8? Defo bring extra napkins. 😅",personal
7069,GOIBIBO,"Your flight change was approved. New date: 21 Dec. PNR: GZ12X9. Charge ₹1,200.",service
7070,KOTAKBK,OTP for payment: 847212. Use within 10 minutes. Ref: KX-0384.,otp
7071,UBER,Your ride is booked. Driver Vinod on the way. ETA 6 mins. Fare ₹92.50.,personal
7072,PAYTM,Congrats! You won a discount of Rs. 150 on your next recharge. Use code IRIS150.,promotion
7073,ICICIBK,"Your monthly statement is ready. Summary: Debit ₹2,350.75 in 31 Oct. Available balance ₹15,480.",banking
7074,MYNTRA,"Order #MN2345 shipped. Tracking 1Z999AA10123456784. ₹1,799 has been charged.",promotion
7075,VERIFY,Your verification code is 371482 for IndiaTimes login. Do not share.,otp
7076,OLACABS,Ride completed. Trip ID T1234. ₹150 charged to your card. Thanks for riding with us!,service
7077,SPAMMER,Congrats! You won a free iPhone. Click link to claim now. Scam alert.,spam
7078,IBS,Reminder: Your appointment with Dr. Singh is tomorrow at 11:30 AM.,service
7079,ZOMATO,Limited time offer: 15% off on orders above ₹499 with code SAVE15. T&C apply.,promotion
7080,HDFC BK,"Regretful note: your recent login from unknown device. If this wasn’t you, call 1800 270 3333.",banking
7081,AXISBK,"Your OTP is 439012 for your AXIS account. Do not share it. Time: 12:43, 29 Nov. Rs.5000 limit check.",otp
7082,ZOMATO,Order #ZMS12345 confirmed. ETA 25 mins. New promo: get Rs.150 off on orders above Rs.399. Use code ZOMAFRIEND.,promotion
7083,SBIALERT,Your account was debited by Rs.1999.00 on 28/11. Balance: Rs. 4500. For details visit SBIBank.,banking
7084,VERIFY,OTP: 763421 valid for 10 mins. Do not share with anyone. vSafe.,otp
7085,SWIGGY,"Hi, your order #SGY98765 is out for delivery. Estimated arrival 12:55 PM. Pay on delivery ₹0.00.",banking
7086,INDIGO,"Dear customer, your flight has been rescheduled to 04 Dec. new PNR: 1A2BC3. Check-in link sent separately.",service
7087,GOIBIBO,"Hotel booking confirmed: Mumbai - TheStays, 2 nights. Ref: GOI-78923. ₹3,999 total.",promotion
7088,MUFG,Un 😅: Your payment of Rs. 1200 successful via UPI. Ref: 789654.,banking
7089,1089,U should check this: scammer msg. UR info not safe. Ignore if not expecting. Please ignore.,spam
7090,RHATM,Reminder: Your car service due on 02 Dec. Bookings open now. ₹999 special offer.,promotion
7091,ICICIBK,OTP alert: 582930. This code expires in 5 mins. Do not share it.,otp
7092,OLACABS,Your ride with Ola is here. Driver Rajesh ETA 5 mins. Vehicle no MH12AB1234,service
7093,AMAZON,Your order #AMZ77777 shipped. Tracking 1Z999AB. Delivery in 3-5 days. ₹99 prepaid.,promotion
7094,9XXXXXXXXX,"Hey yaar, wassup? Long time no chat. U free this weekend? 😊",personal
7095,KOTAKBK,"Your card has been renewed. New last4: 4321. ATM withdrawal limit ₹15,000. For details visit app.",banking
7096,UTI,"OTP: 246810 for UTI login. Valid 10 min. If not you, ignore.",otp
7097,UBER,"Your ride is confirmed. Rider Mahesh on the way. Vehicle: Swift Dzire, plate MH01AB1234.",service
7098,MYNTRA,Limited time offer: flat 20% off on fashion. Use code FASHION20. min Rs.999. Shop now.,promotion
7099,OPMSG,Limited time: You won a prize! Claim now: click link. Beware of scams.,spam
7100,IBN,Your service notification: outage in Mumbai center. Expected resolution by 6 PM today.,service
7101,AXISBK,"Your OTP is 746102. Do not share it. For any doubt, call bank helpline. ₹",otp
7102,HDFCBK,"₹2,450 spent at ZOMATO on 07/11. Balance: ₹3,800. Tap to view details.",banking
7103,VERIFY,Your OTP code 483920 for login to Paytm is valid for 10 mins. pls use it now.,otp
7104,ZOMATO,Order #ZMT12345 confirmed. Delivery expected by 7:45 PM. — Team ZOMATO,promotion
7105,SWIGGY,Promo: Get Rs.150 off on orders above Rs.499. Use code SWIGGY150 at checkout.,promotion
7106,MYNTRA,Your order ORD987654 shipped. Tracking TRK123456789. ETA 2 days.,promotion
7107,UBER,Your ride is confirmed. Driver Arjun arriving in 5 mins. Fare ₹120,service
7108,ICICIBK,"Alert: INR 5,200 debited to ICICI BANK on 07/11. Ref: RXQ98765",banking
7109,GOIBIBO,"Your flight is booked. PNR: GQ1234, departure 21 Nov. ₹0 service charge",service
7110,OTPSMS,OTP 623981 for your Paytm login is valid for 5 mins. Do not share with anyone.,otp
7111,KOTAKBK,"Rs. 1,299 charged at AMAZON on your credit card. Transaction ID: TXN-20456",banking
7112,10-digit,Hey buddy! Mis you. How you been? Let's catch up this weekend.,personal
7113,FLIPKRT,Flash Sale: 60% off on sneakers. Ends today. Use code FLY60,promotion
7114,SBIALERT,"Your account balance is ₹9,740. Update: last login from Mumbai on 07/11",service
7115,OXIDE,Deal_alert: 25% off on groceries. Min ₹299. Valid 24 hours.,promotion
7116,10-digit,"Hey, this is a scammer pretending to be your bank. Ignore and report.",spam
7117,UBER,Promo: Get 20% off on your next ride. Max ₹50. Use code UBERWEEK,promotion
7118,IXIGO,Your itinerary for the trip to Goa is confirmed. E-ticket attached. ₹0 additional charges,service
7119,MAKEMYT,Ticket booked for concert on 12 Dec. Order ID MKY123. Collect at gate.,personal
7120,VERIFY,Your OTP 918273 for bank login is valid for 3 mins. Do not share this code.,otp
7121,HDFCBK,"OTP 482910 for your login. Do not share. ₹5,000 transfer alert to A/c ****1234 on 12:45 PM, txn ID TXN9876.",otp
7122,AXISBK,"Your account was credited ₹2,350.00 on 11/07. Balance ₹15,420.75. Ref: POS12345.",banking
7123,ZOMATO,"Your Veggie Fiesta order delivered. Order ID: ZM987654, total ₹540. Veg-safe. Hope u enjoy!",promotion
7124,VERIFY,OTP 690112 for your Paytm login. Valid for 10 min. pls enter to continue.,otp
7125,SWIGGY,Delhivery on the way: your order 81234 is out for delivery. ETA 30 mins. Rs. 320,promotion
7126,ICICIBK,"Your account debit of ₹1,200.00 on 10/07 from AXIS card. Ref: DRCBT",banking
7127,9XXXXXXXXX,Hey! Long time no chat. Kya haal? Bolo when free this weekend.,personal
7128,KOTAKBK,OTP 457621 for your banking login. Do not share with anyone. Timeout 5 mins.,otp
7129,UBER,"Trip completed: 12.3 km, ₹72.50. Driver: Riya. Thanks for riding with us.",service
7130,PAYTM,Promo: Get Rs. 100 cashback on min Rs. 500 payment. Use code SAVE100. valid till today.,promotion
7131,SBIALERT,"Your mini statement: balance ₹6,420.55. Available funds ₹9,820.00. Ref: SBIA2024",banking
7132,OTPSMS,OTP 302155 for your SBI login. Do not share. Timeout 6 mins.,otp
7133,MYNTRA,"Your order 98766 shipped. Track: MN98766. Amount ₹1,299.00. Expected delivery in 3 days.",promotion
7134,GOIBIBO,Flight PNR AB1234 confirmed. ₹0.00 service charge. Itinerary saved.,service
7135,9XXXXX1234,We detected unusual activity on your account. Verify within 15 mins or your session will be logged out.,spam
7136,UB24X,"Alert: Rs. 2,500 debited from your account. Ref: TLX-4721. If not you, call us.",spam
7137,IXIGO,Night train booked. PNR 8KJH12. Total ₹860.00. Boarding at 22:45.,service
7138,ZOMATO,New restaurant: Saffron Biryani. Order 33422. Rs. 620. Delivery by 45 mins.,promotion
7139,INDUSBK,"Your cheque deposit of ₹50,000 cleared. Ref: CHQ-5589. We’ll send a receipt by email.",banking
7140,10-digit-91XXXX,"Hey yaar, pls check this link for a great offer: bit.ly/offer123. Only for you.",spam
7141,AXISBK,Your OTP is 472839 for online banking login. Do not share it with anyone. Expiry in 10 mins.,otp
7142,HDFCBK,"Rs. 1,234.56 debited from your account on 07 Nov. Balance: Rs. 9,876.54. Ref: 987654321.",banking
7143,ZOMATO,Your order #Z12345 is out for delivery. ETA 25 mins. Cash on delivery available.,personal
7144,VERIFY,OTP 893421 for your Paytm verification. Do not share this code.,otp
7145,ICICIBK,"Hi, your card payment of Rs. 2,499 at AMAZON was successful. Ref: AMZ9876.",banking
7146,SWIGGY,"Your delivery from Swiggy is arriving soon. Order #SWG9876, driver ETA 12 mins.",promotion
7147,GOIBIBO,"Flight booking confirmed. PNR ABC123, departure 15:30 IST on 12 Nov.",service
7148,10-digit-9912345678,"Hey yaar, long time no chat! Up for coffee this weekend? 😊",personal
7149,SBIALERT,"Your savings alert: balance Rs. 5,400.75, interest credited Rs. 45.00 on 06 Nov.",banking
7150,PAYTM,Promo: Get Rs. 150 cashback on spend of Rs. 1200+ this weekend. Use code WELCOME.,promotion
7151,VERIFY,"Security alert: unusual sign-in attempt blocked. If this was you, approve the login in your app.",service
7152,UBER,Your ride is arriving. Driver Arun in 2 mins. Vehicle ABC-1234.,personal
7153,MYNTRA,Flash sale: up to 60% off on fashion till 11:59 PM. Free shipping on orders over Rs. 799.,promotion
7154,KOTAKBK,There was a pending card payment of Rs. 320.00. Do you recognize this? Reply YES to confirm.,banking
7155,OTPSMS,Your OTP code 274901 for OurBank verification will expire in 3 minutes.,otp
7156,OLACABS,Ride booked: Ola/OL1234. Driver arrives in 5 mins. Fare Rs. 88.50.,service
7157,ICICIBK,Promotional offer: 25% off on your next medical purchase. Max Rs. 500.,promotion
7158,LUCKYDEAL,"Congratulations! You won a voucher worth Rs. 1,000. Use code LUCKY1.",spam
7159,55 123 456 7890,"Can you call me when free? Miss you. Love you, xoxo.",personal
7160,AXISBK,Service alert: Your monthly statement is ready. View it securely in the app.,service
7161,AXISBK,Your OTP is 728413 for Axis Bank login. Do not share. OTP valid for 10 mins. msg: ur secure.,otp
7162,ZOMATO,Your order #Z12345 to 7th Ave veg thali is confirmed. ETA 25 mins. Thanks for dining with ZOMATO.,promotion
7163,HDFCBK,₹150 cashback on your card spend today. Use code HDFC05. T&Cs apply.,promotion
7164,VERIFY,OTP 492817 for your Paytm login. Do not share this with anyone. Valid for 5 mins.,otp
7165,ICICIBK,"Your account 1234 is debited ₹2,480.00 for NEFT to AMI ENTERPRISE on 07/11. Ref: 987654321.",banking
7166,SWIGGY,Pizza combo on offer today! Use code PIZZA25 to get ₹60 off. Order via Swiggy now.,promotion
7167,BEWARE-PLS,UPI scam alert: Do not approve any payment request you don't recognize. Stay vigilant.,spam
7168,GOIBIBO,Your flight 9W123 to BLR is confirmed. E-ticket sent to your email. Check-in 3 hours before.,service
7169,10-digit-91-9876543210,"Hey, long time no see! Let's catch up this weekend over coffee? 😊",personal
7170,KOTAKBK,Your SMSSecure verification code 673228 is ready. Do not share with anyone.,otp
7171,AMAZON,Your order #AMZ-556688 has shipped. Tracking: AZ123456789IN. Expected delivery in 3-5 days.,service
7172,MYNTRA,₹999 jacket on sale. Hurry up! Free shipping today. code: MNTRYSALE,promotion
7173,UBER,Your ride is on the way. Driver Rajesh ETA 6 mins. Vehicle: Swift DZire.,service
7174,OTP2SMS,Your verification code 859612 is valid for 10 mins. Do not share.,otp
7175,SPAM-SCAN,"Congratulations! You have won ₹50,000. Click link to claim. T&C apply.",spam
7176,SAARAI,Your monthly bank statement is ready. View or download from your secure portal.,banking
7177,ICICIBK,Your card expiring soon. Last 4 digits 7890. Update PIN for secure payments.,banking
7178,ZOMATO,Meal combo deal: ₹120 off on orders above ₹399. Use code ZM120.,promotion
7179,INDIANPOST,Delivery alert: Your parcel ID 1Z99999 is out for delivery today. Timings between 9am-1pm.,service
7180,9*****3456,"Bro, that was epic last night! Next weekend again? 😎",personal
7181,AXISBK,Your OTP for login is 483920. Do not share with anyone. ₹ charge ₹0.00. valid for 10 mins.,otp
7182,HDFCBK,"Your balance is ₹12,430.50. Last txn: -₹560.00 on 05/11. For details call 1860-123-0000.",banking
7183,ZOMATO,Your order #Z12345 is confirmed. ETA 20 mins. Track: zoma.io/track. Enjoy!,promotion
7184,VERIFY,OTP: 762329 for your login. This code expires in 5 minutes. Do not share.,otp
7185,INDUSINDBK,"Alert: ₹1,250 charged at PVR Cinemas on 04/11. If not you, call 1800-102-3344.",banking
7186,WHATSAPP,"Hey! Bro, kal milte hain at 6 pm. Need to discuss the India trip plans ;)",personal
7187,SWIGGY,Order #SW6789 is out for delivery. ETA 25 mins. Thanks for dining with us!,promotion
7188,SBIALERT,"Your account login attempt failed from device using iPhone. If this wasnt you, reset your PIN.",banking
7189,OTPSMS,OTP: 492310 for your Paytm login. Do not share this with anyone.,otp
7190,10DIGITELEV,Your service payment of ₹2999 was received. Ref: SPX-90821. Thanks for staying with us.,service
7191,AMAZON,Your order #AMZ-112233 is placed. Estimated delivery 2-4 days. Thank you for shopping with us!,promotion
7192,ICICIBK,Low balance: ₹112.00. Add funds to avoid service interruption. Helpline: 1800-425-3344.,banking
7193,LIBERTY,You’re invited: exclusive offer—flat 20% off on all accessories. Use code LIB20.,promotion
7194,GOIBIBO,Your flight is confirmed. PNR: GJX123. Check-in 24h prior. Safe travels! ✈️,service
7195,UDID,Reminder: Your package will be delivered tomorrow between 9am-5pm. Tracking: UD123456789.,service
7196,MYNTRA,Congrats! Your order #MN-7788 has shipped. ₹1999 value. Track: myntra.in/track,promotion
7197,VERIZ, Scam alert: You may have received a suspicious SMS. Do not reply and block the sender.,spam
7198,KOTAKBK,Payment of ₹4500 to Amazon incl. tax completed. Ref: KX-5042. Receipt sent to your email.,banking
7199,OLACABS,Ride is confirmed. Driver Varun on way. Car no. MH-12-AB-1234. ETA 6 mins.,service
7200,MRN0-UTP,"Hey yaar, you free this weekend? Chill plan karte hain. Msg me ge.",personal
7201,VERIFY,Your OTP is 483910 for UPI verification. Do not share it with anyone.,otp
7202,AXISBK,"Rs. 1560 debited from your account on 04:22 PM, ending 1234. Ref: AXIS12345",banking
7203,ZOMATO,Order #Z1234 placed! Delivery by 6:30 PM. Total ₹540.00. Thanks for choosing Zomato.,promotion
7204,NAKHBK,"Hi! Your monthly statement is ready. Balance: ₹12,450.60. Due date: 15th.",banking
7205,OTPSMS,OTP 728219 for your login on 09:45 AM. Do not share this code.,otp
7206,SWIGGY,Order #SWG98765 confirmed. ETA 25 mins. Pay ₹210 now or at delivery.,promotion
7207,ICICIBK,₹2500 credited to your account on 03:10 PM. Ref: ICICIBC987,banking
7208,GOIBIBO,"Your flight on IX123 from DEL to BOM is confirmed. PNR: GY7X9, PAX: 1",service
7209,10-digit-91-9876543210,"Hey yaar, u free this weekend? Catch up for coffee ☕️",personal
7210,KOTAKBK,Promo: Get 10% off on groceries. Use code KOTAK10. min ₹500,promotion
7211,UBER,Your ride is here. Vehicle A-1234 arriving in 3 mins. Fare ₹95,service
7212,SBIALERT,Alert: ₹1200 debited from SBIA-XXXX ending 3456. Ref: SBIA987,banking
7213,VERIFY,Your OTP 561482 for login on 11:02 PM. Never share it.,otp
7214,INDIAMART,Your order #IMR5498 shipped. Tracking: IMRTRACK987. ETA 2 days,service
7215,Myntra,New collection drop! Free shipping on orders over ₹799. Shop now.,promotion
7216,11-digit-91-9123456789,"Oi mate, busy tonight? Let’s chat later. 😊",personal
7217,PAYTM,₹3500 successfully paid to ABC Store. Ref: PYT202506,banking
7218,OLACABS,Ride booked: OLACABS-9932. Pickup in 5 mins. Fare ₹120,service
7219,SPAMBOX,"Congratulations! You’ve won ₹1,00,000. Claim now at link provided.",spam
7220,ICICIPROMO,Limited time offer: Get Rs. 200 cashback on ICICI Pay. Use code ICICICASH,promotion
7221,AXISBK,Hi! Your OTP for axis account login is 734920. Do not share it pls.  valid for 10 mins.,otp
7222,SBIALERT,"Your card was charged ₹4,520.00 at AMAZON. If not you, call us immediately.",banking
7223,ZOMATO,Your order #ZMN12345 is out for delivery. ETA 15 mins. Tap for live tracking.,promotion
7224,VERIFY,OTP for your transaction 892310 is valid for 5 mins. Do not share.,otp
7225,HDFCBK,"Rs. 1,299 credited to your account from UBER rides. Thanks for using HDFC.",banking
7226,10-digit 9876543210,"Heyyyy, long time no speak! How ru? Catch up this weekend. 😊",personal
7227,PAYTM,Special offer: Get flat 100 off on orders above ₹799 with code PAYFLY. T&Cs apply.,promotion
7228,OTPSMS,Your OTP is 458621 for your SBI login. Do not share OTP with anyone.,otp
7229,UBER,Your ride is arriving at your pickup: MG Road. Fare ₹112.50. Thanks for riding with us.,service
7230,SPAM123,"Congrats! You won a prize. Click link to claim ₹50,000. Limited time offer.",spam
7231,ICICIBK,"Payment of ₹2,450 successful at ICICIBANK merchant. Ref: 8492. Thanks for banking with us.",banking
7232,VERIFY,OTP 304872 for your login. Expires in 3 mins. Do not share.,otp
7233,GOIBIBO,Your flight: BLR-DEL on IX123. PNR: B61DEL. Check-in opens 24h before departure.,service
7234,SWIGGY,New spicy deal: 15% off on orders over ₹500. Use code SWIG15. 🚀,promotion
7235,Myntra,Your order #MNTR-5567 shipped. Tracking: TRK98765. Expect delivery by tomorrow.,promotion
7236,KOTAKBK,Rs. 540 credited as cashback on your last purchase. View statement in app.,banking
7237,RELAX,Reminder: your subscription renews on 12th. Amount ₹199.99. You can cancel anytime.,service
7238,ICICIBK,"OTP 771233 for secure login. Keep it secret, use within 10 mins.",otp
7239,UBER,Your driver is on the way. Car #KA-01-AB1234. ETA 4 mins.,service
7240,MYNTRA,Flash sale: up to 70% off on fashion items today. Free shipping above ₹999.,promotion
7241,AXISBK,Your OTP is 483912 for online banking login. Do not share. Valid for 5 mins.,otp
7242,ZOMATO,Your order #Z12345 is confirmed. ETA 25 mins. Enjoy your meal!,promotion
7243,SBIALERT,"Your account was debited Rs 2,480.00 on 07/11. Balance: Rs 7,320.",banking
7244,VERIFY,OTP 857231 for your Paytm transaction. Never share with anyone.,otp
7245,INDUSIND,"Hi! Your monthly card bill is Rs 1,150. Please pay by 15th.",banking
7246,SWIGGY,Your delivery is on the way. Order #SWG789 booked for Rs 289.,promotion
7247,10digit-91-9876543210,"Hey yaar, long time no see! How’s life? 😊",personal
7248,KOTAKBK,"Alert: Rs 4,500 withdrawal at ATM XXXX1234. If not you, call us.",banking
7249,OTPSMS,Your OTP 624981 for PayU payment; expires in 3 mins.,otp
7250,AMAZON,Delivery delayed. Order #AMZ4567; refund of Rs 200 initiated. ETA 2 days.,service
7251,MYNTRA,Flash sale: up to 60% off today. Use code MN20 at checkout.,promotion
7252,ICICIBK,"Your SMG alert: credit Rs 2,200 to your account on 06/11.",banking
7253,GOIBIBO,"Your flight is confirmed. PNR AB1234. Date 15 Nov, 6:00 AM.",service
7254,UNSUSPECT,This is a scam message. You may ignore if unsolicited.,spam
7255,UBER,Your ride is here. Driver ETA 3 mins. Plate MH12AB1234.,service
7256,PAYTM,Recharge successful: Rs 1200. Your balance: Rs 3000.,banking
7257,OTP,Use 891011 as OTP for your login. Do not share codes.,otp
7258,IXIGO,Your train booking confirmed. PNR: XZ5678. Quoted fare Rs 520.,service
7259,INDIANPOST,Your parcel has reached sorting centre. Tracking: 9876543210.,service
7260,9X1M8,Congrats! You won a cashback of Rs 150 on your last purchase.,promotion
7261,AXISBK,"Your OTP for login is 482910. Do not share it with anyone. Date: 12/11. ₹5,000 withdrawal alert.",otp
7262,HDFCBK,"Dear customer, your SMS alert: Rs. 1,250 spent at Zomato on 11/11. Balance: ₹8,640.",banking
7263,ZOMATO,Congrats! 20% off on orders above ₹599. Use code ZOOMAY20. Exp: 15/11.,promotion
7264,VERIFY,Your OTP is 728349 for your PayTM login. Valid for 10 minutes.,otp
7265,ICICIBK,"Alert: ₹12,300 debited to MCC 5411 on 11/11. Ref: 9A4D2.",banking
7266,10DIGIT-1234,"Hey yaar, long time! How about catching up this weekend? 😊",personal
7267,SPAMCAT,"WINNER! You’ve been selected for a ₹50,000 prize. Click link to claim now.",spam
7268,NOTIF,Service alert: Your monthly data pack has expired. Please recharge to continue.,service
7269,UBER,Your ride is here. ETA 5 mins. Fare ₹210. Tip welcome.,personal
7270,SWIGGY,New offer: Flat ₹100 off on orders over ₹399. Use code SWIGGY100.,promotion
7271,GOIBIBO,Your flight got rescheduled to 18:15 on 14/11. New itinerary attached.,service
7272,OTPSMS,OTP: 492813 for your PayU access. Do not share with anyone.,otp
7273,KOTAKBK,"Account notice: ₹2,450 credited as refund on 10/11. Ref: KOT-REF-4482.",banking
7274,MYNTRA,Hurry! 15% off on newest arrivals. Ends today. ₹500 min purchase.,promotion
7275,91-9876543210,"Bro, movie tonight? Got tickets early. Blocked seats, ya?",personal
7276,ITALIANBANK,"Security alert: Unusual sign-in attempt blocked. If this wasn’t you, reset your password.",service
7277,SBIALERT,"Your monthly statement is ready. Balance ₹3,780. Last month: ₹4,120.",banking
7278,PAYTM,OTP: 860234. Do not share this with anyone.,otp
7279,AMAZON,"Your order #AMZ-49172 has shipped. Estimated delivery: 2 days. Total ₹1,299.",promotion
7280,UTKARSH,"Bro, gym session today at 6 pm. Let me know if you’re in!",personal
7281,AXISBK,"OTP for your transaction of Rs. 12,500.00. Ref: 837462. Do not share it.",otp
7282,SBIALERT,"Your Rs. 4,200 debit at Flipkart confirmed. Ref: FLP12345. Balance: Rs. 15,300.",banking
7283,ZOMATO,Order #ZTM789 placed. ETA 24 mins. Enjoy 10% off with code ZEST10.,promotion
7284,UTRNSMS,"Hey, ur parcel from Myntra is out for delivery today. Tracking: 1Z999AA.",promotion
7285,100919,"Hey yaar, ur recharge of Rs. 199 is done. Balance left: Rs. 0.80.",personal
7286,VERIFY,Use code 742019 to verify your login on ICICIBK app. OTP expires in 5 mins.,otp
7287,GOIBIBO,Flight alert: IX1234 to BOM on 12th Dec. Seats hold for 30 mins.,service
7288,SWIGGY,Your order #SWG456 is picked up. ETA 15 mins. Thanks for eating with us.,promotion
7289,ICICIBK,"Your statement is ready. Available balance Rs. 28,450. Interest credited ₹150.",banking
7290,9******1234,Hey! Pls check this new offer: 1 month free Amazon Prime with Rs. 99 plan.,promotion
7291,UBER,Your ride from MG Road to Indiranagar is confirmed. Driver arriving in 5 mins.,service
7292,MYNTRA,Order #MNT730 received. Ship by 2-day delivery. COD not available.,service
7293,OTPMSGS,Your verification code: 489012. Do not share it with anyone.,otp
7294,PAYTM,Rs. 3200 paid to JioMart. Your balance: Rs. 9800.,banking
7295,IRCTC,Ticket booked: PNR AB1234. Itinerary in your app. SMS only for updates.,service
7296,AIRTEL,New plan: Rs. 299/月. Unlimited calls + 100GB data. Welcome offer ends soon.,promotion
7297,EBAY,"Auction won: Item #EDX202. Payment pending. Ship to: Delhi, 110001.",promotion
7298,HIBCHQ,"Hi, your bank mini statement for last 7 days is ready. Total debits: Rs. 4,780.",banking
7299,OLACABS,Ride completed. Fare Rs. 210. Driver rating 5★. Thanks for riding with us.,service
7300,VERIFY,Your OTP: 560821 for a secure login. Do not share this with anyone.,otp
7301,AXISBK,Your OTP is 483920 for login attempt on 12/11/2024 09:15 IST. Do not share it.,otp
7302,HDFCBK,"Rs. 2,450 withdrawn from your account at ATM 12:32 PM, balance ₹5,600.28. If not you, call us.",banking
7303,ZOMATO,Hi! Your order #Z12345 is confirmed. ETA 45 mins. Bon appétit! 🍽️,promotion
7304,VERIFY,Your OTP for verification is 791062. Valid for 10 minutes. Urgent: do not share.,otp
7305,SBIALERT,"Alert: ₹1,200 spent at Flipkart on 11/11. If not you, pls report.",banking
7306,10-digit-91-9876543210,"Hey, how are you? Long time no see. Catch up this weekend? 😊",personal
7307,SWIGGY,Food on the way: Order #SWG9876. ₹320 included. ETA 25 mins.,promotion
7308,OTPSMS,OTP for your request is 284739. Do not share with anyone.,otp
7309,ICICIBK,"Your monthly statement is ready. Total: Rs. 12,340.50. Visit app for details.",banking
7310,GOIBIBO,Your flight to Delhi is confirmed. PNR: AB1234. Travel light! 🛄,service
7311,Myntra,Drop alert: Your order #MNTR-4422 was delivered. Enjoy shopping! 🧥,promotion
7312,UBER,Pickup request accepted. Driver is on the way. Car details sent to your number.,service
